timestamp,line,machine,units_produced,downtime_minutes,defects
06:00,A,Cutter-1,114,0,0
06:00,A,Cutter-2,112,0,0
06:00,B,Welder-1,105,15,1
06:00,B,Welder-2,105,0,0
06:00,C,Press-1,129,0,0
06:00,C,Press-2,120,0,1
06:30,A,Cutter-1,124,0,0
06:30,A,Cutter-2,109,0,0
06:30,B,Welder-1,0,20,0
06:30,B,Welder-2,105,0,0
06:30,C,Press-1,127,0,0
06:30,C,Press-2,120,0,0
07:00,A,Cutter-1,118,0,1
07:00,A,Cutter-2,111,0,1
07:00,B,Welder-1,99,0,2
07:00,B,Welder-2,109,0,0
07:00,C,Press-1,122,1,0
07:00,C,Press-2,132,1,2
07:30,A,Cutter-1,114,0,0
07:30,A,Cutter-2,115,0,1
07:30,B,Welder-1,96,0,2
07:30,B,Welder-2,106,0,0
07:30,C,Press-1,140,0,0
07:30,C,Press-2,123,0,0
08:00,A,Cutter-1,117,0,0
08:00,A,Cutter-2,109,0,0
08:00,B,Welder-1,93,0,3
08:00,B,Welder-2,109,0,0
08:00,C,Press-1,138,1,1
08:00,C,Press-2,122,0,0
08:30,A,Cutter-1,125,0,0
08:30,A,Cutter-2,109,0,0
08:30,B,Welder-1,90,0,3
08:30,B,Welder-2,114,0,0
08:30,C,Press-1,122,2,0
08:30,C,Press-2,130,0,0
09:00,A,Cutter-1,121,0,1
09:00,A,Cutter-2,110,0,0
09:00,B,Welder-1,87,0,4
09:00,B,Welder-2,110,0,0
09:00,C,Press-1,133,0,0
09:00,C,Press-2,136,0,0
09:30,A,Cutter-1,112,0,0
09:30,A,Cutter-2,104,0,0
09:30,B,Welder-1,84,0,4
09:30,B,Welder-2,115,2,1
09:30,C,Press-1,129,0,0
09:30,C,Press-2,120,0,0
10:00,A,Cutter-1,122,0,0
10:00,A,Cutter-2,104,0,0
10:00,B,Welder-1,80,0,5
10:00,B,Welder-2,117,0,0
10:00,C,Press-1,133,0,0
10:00,C,Press-2,132,0,1
10:30,A,Cutter-1,120,0,0
10:30,A,Cutter-2,105,0,0
10:30,B,Welder-1,77,0,5
10:30,B,Welder-2,105,0,0
10:30,C,Press-1,125,0,0
10:30,C,Press-2,127,0,0
11:00,A,Cutter-1,128,0,0
11:00,A,Cutter-2,104,0,0
11:00,B,Welder-1,74,0,6
11:00,B,Welder-2,104,0,0
11:00,C,Press-1,136,0,1
11:00,C,Press-2,130,0,0
11:30,A,Cutter-1,129,1,1
11:30,A,Cutter-2,111,0,0
11:30,B,Welder-1,71,0,6
11:30,B,Welder-2,122,1,0
11:30,C,Press-1,137,0,0
11:30,C,Press-2,120,0,0
12:00,A,Cutter-1,116,0,0
12:00,A,Cutter-2,120,0,0
12:00,B,Welder-1,68,0,6
12:00,B,Welder-2,114,0,0
12:00,C,Press-1,125,0,0
12:00,C,Press-2,129,0,0
12:30,A,Cutter-1,121,3,0
12:30,A,Cutter-2,105,0,0
12:30,B,Welder-1,65,0,6
12:30,B,Welder-2,117,0,0
12:30,C,Press-1,130,2,0
12:30,C,Press-2,125,0,0
13:00,A,Cutter-1,113,0,0
13:00,A,Cutter-2,110,0,0
13:00,B,Welder-1,62,0,6
13:00,B,Welder-2,113,0,0
13:00,C,Press-1,138,0,0
13:00,C,Press-2,136,0,0
13:30,A,Cutter-1,121,0,0
13:30,A,Cutter-2,106,0,0
13:30,B,Welder-1,59,0,6
13:30,B,Welder-2,115,0,0
13:30,C,Press-1,139,0,0
13:30,C,Press-2,120,0,0
14:00,A,Cutter-1,124,0,0
14:00,A,Cutter-2,115,0,0
14:00,B,Welder-1,55,0,6
14:00,B,Welder-2,106,0,1
14:00,C,Press-1,124,0,0
14:00,C,Press-2,123,0,0
