timestamp,line,machine,units_produced,downtime_minutes,defects
08:00,A,Cutter-1,116,0,0
08:00,A,Cutter-2,110,0,0
08:00,B,Welder-1,104,0,1
08:00,B,Welder-2,122,0,0
08:00,C,Press-1,125,0,4
08:00,C,Press-2,122,0,3
08:15,A,Cutter-1,126,0,0
08:15,A,Cutter-2,109,0,0
08:15,B,Welder-1,112,0,0
08:15,B,Welder-2,121,0,0
08:15,C,Press-1,136,0,3
08:15,C,Press-2,125,0,1
08:30,A,Cutter-1,113,0,0
08:30,A,Cutter-2,102,0,0
08:30,B,Welder-1,104,1,0
08:30,B,Welder-2,122,0,0
08:30,C,Press-1,135,2,2
08:30,C,Press-2,133,0,5
08:45,A,Cutter-1,130,0,0
08:45,A,Cutter-2,119,1,0
08:45,B,Welder-1,101,0,0
08:45,B,Welder-2,110,0,0
08:45,C,Press-1,130,0,2
08:45,C,Press-2,133,0,3
09:00,A,Cutter-1,128,0,0
09:00,A,Cutter-2,106,0,0
09:00,B,Welder-1,114,0,1
09:00,B,Welder-2,110,2,1
09:00,C,Press-1,124,0,5
09:00,C,Press-2,136,0,2
09:15,A,Cutter-1,118,0,0
09:15,A,Cutter-2,120,1,1
09:15,B,Welder-1,112,0,0
09:15,B,Welder-2,121,0,0
09:15,C,Press-1,128,0,3
09:15,C,Press-2,134,0,2
09:30,A,Cutter-1,120,0,0
09:30,A,Cutter-2,104,2,0
09:30,B,Welder-1,98,0,0
09:30,B,Welder-2,111,2,0
09:30,C,Press-1,125,0,4
09:30,C,Press-2,133,1,5
09:45,A,Cutter-1,113,0,0
09:45,A,Cutter-2,114,0,1
09:45,B,Welder-1,98,0,0
09:45,B,Welder-2,121,0,0
09:45,C,Press-1,128,0,4
09:45,C,Press-2,121,0,3
10:00,A,Cutter-1,125,1,0
10:00,A,Cutter-2,117,0,0
10:00,B,Welder-1,101,0,0
10:00,B,Welder-2,112,1,0
10:00,C,Press-1,132,1,4
10:00,C,Press-2,125,0,2
10:15,A,Cutter-1,122,3,0
10:15,A,Cutter-2,117,0,0
10:15,B,Welder-1,115,0,0
10:15,B,Welder-2,115,0,0
10:15,C,Press-1,140,0,1
10:15,C,Press-2,125,0,3
10:30,A,Cutter-1,121,0,0
10:30,A,Cutter-2,113,0,0
10:30,B,Welder-1,113,1,0
10:30,B,Welder-2,104,0,0
10:30,C,Press-1,129,0,3
10:30,C,Press-2,132,0,3
10:45,A,Cutter-1,124,2,0
10:45,A,Cutter-2,117,1,0
10:45,B,Welder-1,112,1,0
10:45,B,Welder-2,115,0,0
10:45,C,Press-1,134,0,2
10:45,C,Press-2,133,0,2
11:00,A,Cutter-1,117,1,0
11:00,A,Cutter-2,110,0,0
11:00,B,Welder-1,104,0,0
11:00,B,Welder-2,114,0,0
11:00,C,Press-1,138,0,2
11:00,C,Press-2,128,0,5
11:15,A,Cutter-1,120,0,0
11:15,A,Cutter-2,114,0,0
11:15,B,Welder-1,100,1,0
11:15,B,Welder-2,120,0,0
11:15,C,Press-1,124,2,3
11:15,C,Press-2,123,0,3
11:30,A,Cutter-1,115,1,1
11:30,A,Cutter-2,118,0,0
11:30,B,Welder-1,104,0,0
11:30,B,Welder-2,106,0,1
11:30,C,Press-1,129,0,5
11:30,C,Press-2,126,0,3
11:45,A,Cutter-1,118,0,1
11:45,A,Cutter-2,109,0,0
11:45,B,Welder-1,111,0,0
11:45,B,Welder-2,118,0,0
11:45,C,Press-1,137,1,2
11:45,C,Press-2,122,0,3
12:00,A,Cutter-1,124,0,0
12:00,A,Cutter-2,114,0,1
12:00,B,Welder-1,115,0,0
12:00,B,Welder-2,115,0,0
12:00,C,Press-1,125,0,2
12:00,C,Press-2,131,1,2
12:15,A,Cutter-1,129,0,1
12:15,A,Cutter-2,113,2,0
12:15,B,Welder-1,99,1,0
12:15,B,Welder-2,106,0,0
12:15,C,Press-1,124,0,2
12:15,C,Press-2,130,0,3
12:30,A,Cutter-1,124,0,0
12:30,A,Cutter-2,119,0,0
12:30,B,Welder-1,103,0,2
12:30,B,Welder-2,115,0,0
12:30,C,Press-1,134,0,2
12:30,C,Press-2,133,0,2
12:45,A,Cutter-1,117,0,0
12:45,A,Cutter-2,110,0,0
12:45,B,Welder-1,108,1,0
12:45,B,Welder-2,122,0,0
12:45,C,Press-1,126,0,5
12:45,C,Press-2,128,1,1
13:00,A,Cutter-1,119,0,0
13:00,A,Cutter-2,118,0,0
13:00,B,Welder-1,102,0,2
13:00,B,Welder-2,119,0,0
13:00,C,Press-1,133,0,1
13:00,C,Press-2,123,0,3
13:15,A,Cutter-1,115,0,0
13:15,A,Cutter-2,113,0,0
13:15,B,Welder-1,115,0,0
13:15,B,Welder-2,115,0,0
13:15,C,Press-1,140,0,2
13:15,C,Press-2,136,0,4
13:30,A,Cutter-1,113,0,0
13:30,A,Cutter-2,108,0,0
13:30,B,Welder-1,99,0,0
13:30,B,Welder-2,121,0,0
13:30,C,Press-1,131,0,4
13:30,C,Press-2,129,0,2
13:45,A,Cutter-1,119,0,0
13:45,A,Cutter-2,119,0,0
13:45,B,Welder-1,101,0,0
13:45,B,Welder-2,120,0,0
13:45,C,Press-1,127,0,5
13:45,C,Press-2,136,3,3
14:00,A,Cutter-1,129,0,0
14:00,A,Cutter-2,106,0,0
14:00,B,Welder-1,112,0,1
14:00,B,Welder-2,119,2,0
14:00,C,Press-1,126,0,2
14:00,C,Press-2,130,0,1
14:15,A,Cutter-1,129,0,0
14:15,A,Cutter-2,119,0,0
14:15,B,Welder-1,102,0,0
14:15,B,Welder-2,117,0,0
14:15,C,Press-1,135,0,5
14:15,C,Press-2,131,0,4
14:30,A,Cutter-1,119,2,2
14:30,A,Cutter-2,107,1,0
14:30,B,Welder-1,110,0,0
14:30,B,Welder-2,121,0,0
14:30,C,Press-1,124,0,5
14:30,C,Press-2,120,0,2
14:45,A,Cutter-1,127,0,0
14:45,A,Cutter-2,118,0,0
14:45,B,Welder-1,103,0,0
14:45,B,Welder-2,119,2,0
14:45,C,Press-1,137,0,3
14:45,C,Press-2,121,0,4
15:00,A,Cutter-1,127,0,0
15:00,A,Cutter-2,113,0,1
15:00,B,Welder-1,100,0,0
15:00,B,Welder-2,116,0,0
15:00,C,Press-1,124,1,2
15:00,C,Press-2,130,0,5
15:15,A,Cutter-1,116,0,1
15:15,A,Cutter-2,111,0,0
15:15,B,Welder-1,106,0,0
15:15,B,Welder-2,119,0,0
15:15,C,Press-1,128,0,2
15:15,C,Press-2,121,0,5
15:30,A,Cutter-1,121,0,0
15:30,A,Cutter-2,106,0,0
15:30,B,Welder-1,103,0,0
15:30,B,Welder-2,109,0,0
15:30,C,Press-1,125,0,2
15:30,C,Press-2,137,0,2
15:45,A,Cutter-1,118,0,0
15:45,A,Cutter-2,112,0,0
15:45,B,Welder-1,110,0,2
15:45,B,Welder-2,113,0,0
15:45,C,Press-1,122,3,3
15:45,C,Press-2,138,2,2
16:00,A,Cutter-1,127,0,0
16:00,A,Cutter-2,114,0,0
16:00,B,Welder-1,115,0,0
16:00,B,Welder-2,106,0,0
16:00,C,Press-1,122,0,3
16:00,C,Press-2,120,3,5
