timestamp,line,machine,units_produced,downtime_minutes,defects
08:00,A,Cutter-1,120,0,0
08:00,A,Cutter-2,120,0,0
08:00,B,Welder-1,99,0,0
08:00,B,Welder-2,122,0,0
08:00,C,Press-1,138,0,0
08:00,C,Press-2,133,0,0
08:15,A,Cutter-1,114,0,0
08:15,A,Cutter-2,104,0,0
08:15,B,Welder-1,98,0,0
08:15,B,Welder-2,107,1,0
08:15,C,Press-1,135,0,0
08:15,C,Press-2,125,0,0
08:30,A,Cutter-1,119,0,0
08:30,A,Cutter-2,104,0,0
08:30,B,Welder-1,104,1,0
08:30,B,Welder-2,111,0,0
08:30,C,Press-1,132,0,0
08:30,C,Press-2,120,0,0
08:45,A,Cutter-1,113,0,0
08:45,A,Cutter-2,103,0,0
08:45,B,Welder-1,101,1,1
08:45,B,Welder-2,119,0,0
08:45,C,Press-1,132,0,0
08:45,C,Press-2,134,0,0
09:00,A,Cutter-1,115,0,0
09:00,A,Cutter-2,111,0,0
09:00,B,Welder-1,104,0,0
09:00,B,Welder-2,112,0,0
09:00,C,Press-1,124,0,1
09:00,C,Press-2,129,0,0
09:15,A,Cutter-1,118,0,0
09:15,A,Cutter-2,108,0,2
09:15,B,Welder-1,97,0,0
09:15,B,Welder-2,105,0,0
09:15,C,Press-1,128,0,0
09:15,C,Press-2,128,0,0
09:30,A,Cutter-1,128,0,0
09:30,A,Cutter-2,111,0,0
09:30,B,Welder-1,113,0,0
09:30,B,Welder-2,104,0,0
09:30,C,Press-1,130,0,0
09:30,C,Press-2,121,0,0
09:45,A,Cutter-1,117,0,1
09:45,A,Cutter-2,114,0,0
09:45,B,Welder-1,109,0,0
09:45,B,Welder-2,113,0,0
09:45,C,Press-1,139,2,0
09:45,C,Press-2,120,0,0
10:00,A,Cutter-1,115,0,0
10:00,A,Cutter-2,112,0,0
10:00,B,Welder-1,99,0,0
10:00,B,Welder-2,121,0,1
10:00,C,Press-1,132,0,0
10:00,C,Press-2,135,0,0
10:15,A,Cutter-1,120,0,0
10:15,A,Cutter-2,115,3,0
10:15,B,Welder-1,97,0,0
10:15,B,Welder-2,119,0,0
10:15,C,Press-1,123,0,0
10:15,C,Press-2,126,0,1
10:30,A,Cutter-1,121,0,0
10:30,A,Cutter-2,115,0,0
10:30,B,Welder-1,108,0,0
10:30,B,Welder-2,107,0,1
10:30,C,Press-1,138,0,0
10:30,C,Press-2,137,0,0
10:45,A,Cutter-1,117,0,0
10:45,A,Cutter-2,108,0,0
10:45,B,Welder-1,114,0,0
10:45,B,Welder-2,118,0,0
10:45,C,Press-1,129,0,0
10:45,C,Press-2,123,0,0
11:00,A,Cutter-1,117,1,1
