timestamp,line,machine,units_produced,downtime_minutes,defects
08:00,A,Cutter-1,129,1,2
08:00,A,Cutter-2,108,1,2
08:00,B,Welder-1,109,0,0
08:00,B,Welder-2,118,0,0
08:00,C,Press-1,135,0,0
08:00,C,Press-2,132,0,0
08:15,A,Cutter-1,117,0,3
08:15,A,Cutter-2,106,3,3
08:15,B,Welder-1,106,0,1
08:15,B,Welder-2,118,0,0
08:15,C,Press-1,138,0,1
08:15,C,Press-2,127,0,0
08:30,A,Cutter-1,116,0,3
08:30,A,Cutter-2,104,0,1
08:30,B,Welder-1,115,1,0
08:30,B,Welder-2,105,0,0
08:30,C,Press-1,122,1,0
08:30,C,Press-2,123,0,0
08:45,A,Cutter-1,122,0,3
08:45,A,Cutter-2,110,0,2
08:45,B,Welder-1,110,3,0
08:45,B,Welder-2,119,0,1
08:45,C,Press-1,129,0,0
08:45,C,Press-2,133,0,0
09:00,A,Cutter-1,129,0,3
09:00,A,Cutter-2,111,0,1
09:00,B,Welder-1,0,20,0
09:00,B,Welder-2,118,0,0
09:00,C,Press-1,129,0,0
09:00,C,Press-2,135,0,1
09:15,A,Cutter-1,122,0,2
09:15,A,Cutter-2,115,0,2
09:15,B,Welder-1,0,0,0
09:15,B,Welder-2,114,0,0
09:15,C,Press-1,134,0,0
09:15,C,Press-2,32,29,0
09:30,A,Cutter-1,121,0,2
09:30,A,Cutter-2,102,3,2
09:30,B,Welder-1,0,0,0
09:30,B,Welder-2,107,0,1
09:30,C,Press-1,124,0,1
09:30,C,Press-2,131,0,0
09:45,A,Cutter-1,119,2,3
09:45,A,Cutter-2,109,0,4
09:45,B,Welder-1,0,0,0
09:45,B,Welder-2,108,0,0
09:45,C,Press-1,131,0,0
09:45,C,Press-2,131,0,0
10:00,A,Cutter-1,128,0,2
10:00,A,Cutter-2,105,0,3
10:00,B,Welder-1,105,0,0
10:00,B,Welder-2,104,0,0
10:00,C,Press-1,129,0,0
10:00,C,Press-2,122,0,0
10:15,A,Cutter-1,120,0,1
10:15,A,Cutter-2,109,1,1
10:15,B,Welder-1,107,0,0
10:15,B,Welder-2,120,1,1
10:15,C,Press-1,140,0,0
10:15,C,Press-2,133,0,0
10:30,A,Cutter-1,113,0,1
10:30,A,Cutter-2,117,0,4
10:30,B,Welder-1,111,0,1
10:30,B,Welder-2,116,0,0
10:30,C,Press-1,125,0,0
10:30,C,Press-2,128,0,0
10:45,A,Cutter-1,122,0,3
10:45,A,Cutter-2,110,0,3
10:45,B,Welder-1,109,0,0
10:45,B,Welder-2,116,0,0
10:45,C,Press-1,125,0,0
10:45,C,Press-2,125,0,0
11:00,A,Cutter-1,115,0,3
11:00,A,Cutter-2,118,0,4
11:00,B,Welder-1,109,0,0
11:00,B,Welder-2,118,0,0
11:00,C,Press-1,126,0,0
11:00,C,Press-2,134,0,0
11:15,A,Cutter-1,116,0,3
11:15,A,Cutter-2,103,0,2
11:15,B,Welder-1,101,0,0
11:15,B,Welder-2,122,0,1
11:15,C,Press-1,139,1,0
11:15,C,Press-2,134,0,1
11:30,A,Cutter-1,113,1,4
11:30,A,Cutter-2,102,0,4
11:30,B,Welder-1,101,1,0
11:30,B,Welder-2,105,3,0
11:30,C,Press-1,127,0,0
11:30,C,Press-2,32,20,0
11:45,A,Cutter-1,117,0,4
11:45,A,Cutter-2,103,0,2
11:45,B,Welder-1,115,0,1
11:45,B,Welder-2,109,0,0
11:45,C,Press-1,136,0,0
11:45,C,Press-2,135,1,0
12:00,A,Cutter-1,124,0,3
12:00,A,Cutter-2,106,0,3
12:00,B,Welder-1,113,0,0
12:00,B,Welder-2,109,0,0
12:00,C,Press-1,130,0,0
12:00,C,Press-2,129,0,0
12:15,A,Cutter-1,126,0,1
12:15,A,Cutter-2,119,2,3
12:15,B,Welder-1,109,2,0
12:15,B,Welder-2,119,0,0
12:15,C,Press-1,132,0,0
12:15,C,Press-2,126,1,0
12:30,A,Cutter-1,129,0,1
12:30,A,Cutter-2,113,0,2
12:30,B,Welder-1,110,0,0
12:30,B,Welder-2,107,0,0
12:30,C,Press-1,136,0,0
12:30,C,Press-2,123,0,0
12:45,A,Cutter-1,116,0,1
12:45,A,Cutter-2,118,2,1
12:45,B,Welder-1,104,0,0
12:45,B,Welder-2,112,0,1
12:45,C,Press-1,132,0,0
12:45,C,Press-2,136,0,0
13:00,A,Cutter-1,124,0,3
13:00,A,Cutter-2,116,3,2
13:00,B,Welder-1,113,0,0
13:00,B,Welder-2,108,0,0
13:00,C,Press-1,128,0,0
13:00,C,Press-2,134,0,1
13:15,A,Cutter-1,130,0,2
13:15,A,Cutter-2,116,1,3
13:15,B,Welder-1,106,1,1
13:15,B,Welder-2,120,0,1
13:15,C,Press-1,134,0,0
13:15,C,Press-2,126,0,2
13:30,A,Cutter-1,114,0,1
13:30,A,Cutter-2,120,0,1
13:30,B,Welder-1,101,0,0
