timestamp,line,machine,units_produced,downtime_minutes,defects
08:00,A,Cutter-1,76,2,1
08:00,A,Cutter-2,74,0,0
08:00,B,Welder-1,70,0,0
08:00,B,Welder-2,70,2,0
08:00,C,Press-1,80,0,0
08:00,C,Press-2,87,2,1
08:15,A,Cutter-1,85,2,0
08:15,A,Cutter-2,66,0,0
08:15,B,Welder-1,71,0,0
08:15,B,Welder-2,86,2,0
08:15,C,Press-1,92,2,0
08:15,C,Press-2,97,0,0
08:30,A,Cutter-1,88,0,1
08:30,A,Cutter-2,78,2,0
08:30,B,Welder-1,77,2,0
08:30,B,Welder-2,79,0,0
08:30,C,Press-1,83,0,0
08:30,C,Press-2,93,0,0
08:45,A,Cutter-1,76,2,0
08:45,A,Cutter-2,84,0,0
08:45,B,Welder-1,71,4,0
08:45,B,Welder-2,81,4,2
08:45,C,Press-1,90,2,0
08:45,C,Press-2,88,0,0
09:00,A,Cutter-1,75,2,0
09:00,A,Cutter-2,67,2,1
09:00,B,Welder-1,70,4,1
09:00,B,Welder-2,82,0,0
09:00,C,Press-1,84,0,0
09:00,C,Press-2,84,0,0
09:15,A,Cutter-1,75,0,1
09:15,A,Cutter-2,69,4,0
09:15,B,Welder-1,64,0,0
09:15,B,Welder-2,84,2,0
09:15,C,Press-1,89,4,0
09:15,C,Press-2,79,0,0
09:30,A,Cutter-1,82,2,0
09:30,A,Cutter-2,66,0,1
09:30,B,Welder-1,63,4,0
09:30,B,Welder-2,74,0,1
09:30,C,Press-1,78,0,0
09:30,C,Press-2,98,0,0
09:45,A,Cutter-1,77,0,0
09:45,A,Cutter-2,74,2,0
09:45,B,Welder-1,77,2,0
09:45,B,Welder-2,85,0,0
09:45,C,Press-1,88,2,0
09:45,C,Press-2,79,0,0
10:00,A,Cutter-1,76,0,0
10:00,A,Cutter-2,68,2,0
10:00,B,Welder-1,81,0,0
10:00,B,Welder-2,68,2,0
10:00,C,Press-1,88,0,0
10:00,C,Press-2,84,0,0
10:15,A,Cutter-1,75,0,0
10:15,A,Cutter-2,80,0,1
10:15,B,Welder-1,75,0,0
10:15,B,Welder-2,75,4,0
10:15,C,Press-1,83,0,0
10:15,C,Press-2,79,4,1
10:30,A,Cutter-1,91,0,2
10:30,A,Cutter-2,81,0,0
10:30,B,Welder-1,68,2,0
10:30,B,Welder-2,72,0,1
10:30,C,Press-1,100,0,0
10:30,C,Press-2,90,2,0
10:45,A,Cutter-1,78,0,0
10:45,A,Cutter-2,83,0,0
10:45,B,Welder-1,65,0,2
10:45,B,Welder-2,85,0,2
10:45,C,Press-1,84,0,0
10:45,C,Press-2,90,0,0
11:00,A,Cutter-1,80,0,0
11:00,A,Cutter-2,72,2,1
11:00,B,Welder-1,72,0,0
11:00,B,Welder-2,68,0,1
11:00,C,Press-1,78,0,2
11:00,C,Press-2,94,0,0
11:15,A,Cutter-1,92,0,0
11:15,A,Cutter-2,66,0,0
11:15,B,Welder-1,80,0,0
11:15,B,Welder-2,85,0,0
11:15,C,Press-1,91,0,0
11:15,C,Press-2,96,0,0
11:30,A,Cutter-1,79,0,0
11:30,A,Cutter-2,71,2,0
11:30,B,Welder-1,73,0,0
11:30,B,Welder-2,85,2,2
11:30,C,Press-1,82,0,2
11:30,C,Press-2,88,2,0
11:45,A,Cutter-1,72,4,0
11:45,A,Cutter-2,77,0,0
11:45,B,Welder-1,63,0,0
11:45,B,Welder-2,68,2,2
11:45,C,Press-1,94,0,1
11:45,C,Press-2,80,2,0
12:00,A,Cutter-1,73,0,0
12:00,A,Cutter-2,85,0,1
12:00,B,Welder-1,64,0,0
12:00,B,Welder-2,86,0,0
12:00,C,Press-1,86,0,1
12:00,C,Press-2,79,0,0
12:15,A,Cutter-1,90,0,0
12:15,A,Cutter-2,71,0,0
12:15,B,Welder-1,76,0,0
12:15,B,Welder-2,72,0,0
12:15,C,Press-1,95,0,0
12:15,C,Press-2,97,0,1
12:30,A,Cutter-1,89,0,1
12:30,A,Cutter-2,67,0,0
12:30,B,Welder-1,67,2,0
12:30,B,Welder-2,85,2,0
12:30,C,Press-1,88,0,0
12:30,C,Press-2,83,0,0
12:45,A,Cutter-1,85,2,0
12:45,A,Cutter-2,69,2,2
12:45,B,Welder-1,74,0,0
12:45,B,Welder-2,79,0,0
12:45,C,Press-1,82,0,1
12:45,C,Press-2,91,4,0
13:00,A,Cutter-1,84,0,0
13:00,A,Cutter-2,76,0,0
13:00,B,Welder-1,71,0,0
13:00,B,Welder-2,78,0,1
13:00,C,Press-1,100,0,0
13:00,C,Press-2,97,0,1
13:15,A,Cutter-1,73,4,1
13:15,A,Cutter-2,78,0,0
13:15,B,Welder-1,67,0,0
13:15,B,Welder-2,76,0,0
13:15,C,Press-1,87,0,0
13:15,C,Press-2,90,0,0
13:30,A,Cutter-1,76,0,0
13:30,A,Cutter-2,77,0,0
13:30,B,Welder-1,71,0,0
13:30,B,Welder-2,79,0,0
13:30,C,Press-1,93,0,0
13:30,C,Press-2,89,0,0
13:45,A,Cutter-1,88,0,0
13:45,A,Cutter-2,73,0,0
13:45,B,Welder-1,68,4,1
13:45,B,Welder-2,82,0,0
13:45,C,Press-1,99,0,0
13:45,C,Press-2,82,0,0
14:00,A,Cutter-1,91,0,0
14:00,A,Cutter-2,84,0,0
14:00,B,Welder-1,81,0,0
14:00,B,Welder-2,74,0,1
14:00,C,Press-1,97,2,0
14:00,C,Press-2,85,0,0
14:15,A,Cutter-1,85,2,0
14:15,A,Cutter-2,80,0,0
14:15,B,Welder-1,76,2,0
14:15,B,Welder-2,82,2,0
14:15,C,Press-1,88,4,1
14:15,C,Press-2,86,0,1
14:30,A,Cutter-1,80,0,0
14:30,A,Cutter-2,70,4,0
14:30,B,Welder-1,71,0,0
14:30,B,Welder-2,81,0,0
14:30,C,Press-1,80,0,1
14:30,C,Press-2,95,0,0
14:45,A,Cutter-1,81,0,0
14:45,A,Cutter-2,73,2,0
14:45,B,Welder-1,68,0,0
14:45,B,Welder-2,84,0,0
14:45,C,Press-1,93,2,0
14:45,C,Press-2,91,0,0
15:00,A,Cutter-1,87,0,0
15:00,A,Cutter-2,79,2,0
15:00,B,Welder-1,75,0,1
15:00,B,Welder-2,69,0,0
15:00,C,Press-1,79,0,0
15:00,C,Press-2,91,0,0
15:15,A,Cutter-1,87,0,0
15:15,A,Cutter-2,85,0,0
15:15,B,Welder-1,79,4,0
15:15,B,Welder-2,81,0,0
15:15,C,Press-1,86,2,0
15:15,C,Press-2,81,0,0
15:30,A,Cutter-1,91,4,0
15:30,A,Cutter-2,82,0,0
15:30,B,Welder-1,75,0,0
15:30,B,Welder-2,75,0,0
15:30,C,Press-1,93,0,0
15:30,C,Press-2,97,0,0
15:45,A,Cutter-1,88,0,0
15:45,A,Cutter-2,66,4,0
15:45,B,Welder-1,75,0,0
15:45,B,Welder-2,79,2,2
15:45,C,Press-1,93,0,0
15:45,C,Press-2,89,2,0
16:00,A,Cutter-1,76,0,0
16:00,A,Cutter-2,80,0,0
16:00,B,Welder-1,70,0,0
16:00,B,Welder-2,68,0,0
16:00,C,Press-1,95,0,0
16:00,C,Press-2,78,0,0
