timestamp,line,machine,units_produced,downtime_minutes,defects
08:00,A,Cutter-1,125,0,0
08:00,A,Cutter-2,118,2,1
08:00,B,Welder-1,105,3,0
08:00,B,Welder-2,112,0,0
08:00,C,Press-1,130,0,1
08:00,C,Press-2,128,0,0
08:15,A,Cutter-1,130,0,0
08:15,A,Cutter-2,115,0,0
08:15,B,Welder-1,108,0,1
08:15,B,Welder-2,110,0,0
08:15,C,Press-1,135,0,0
08:15,C,Press-2,132,0,0
08:30,A,Cutter-1,128,0,0
08:30,A,Cutter-2,120,1,0
08:30,B,Welder-1,110,2,0
08:30,B,Welder-2,115,0,0
08:30,C,Press-1,140,0,0
08:30,C,Press-2,135,0,0
08:45,A,Cutter-1,132,0,0
08:45,A,Cutter-2,122,0,0
08:45,B,Welder-1,105,0,0
08:45,B,Welder-2,118,0,1
08:45,C,Press-1,138,0,0
08:45,C,Press-2,130,0,0
09:00,A,Cutter-1,135,0,0
09:00,A,Cutter-2,125,0,1
09:00,B,Welder-1,112,0,0
09:00,B,Welder-2,120,0,0
09:00,C,Press-1,145,0,0
09:00,C,Press-2,140,0,0
09:15,A,Cutter-1,130,0,0
09:15,A,Cutter-2,118,0,0
09:15,B,Welder-1,108,0,0
09:15,B,Welder-2,115,0,0
09:15,C,Press-1,142,0,0
09:15,C,Press-2,138,0,0
09:30,A,Cutter-1,128,0,0
09:30,A,Cutter-2,120,0,0
09:30,B,Welder-1,110,0,0
09:30,B,Welder-2,118,0,0
09:30,C,Press-1,140,0,0
09:30,C,Press-2,135,0,0
09:45,A,Cutter-1,132,0,0
09:45,A,Cutter-2,125,0,0
09:45,B,Welder-1,115,0,0
09:45,B,Welder-2,122,0,0
09:45,C,Press-1,145,0,0
09:45,C,Press-2,140,0,0
