timestamp,line,machine,units_produced,downtime_minutes,defects
06:00,A,Cutter-1,124,0,0
06:00,A,Cutter-2,109,0,0
06:00,B,Welder-1,105,0,0
06:00,B,Welder-2,121,0,0
06:00,C,Press-1,128,0,0
06:00,C,Press-2,126,0,0
06:30,A,Cutter-1,124,0,0
06:30,A,Cutter-2,116,0,0
06:30,B,Welder-1,107,0,0
06:30,B,Welder-2,106,0,0
06:30,C,Press-1,130,0,0
06:30,C,Press-2,131,3,0
07:00,A,Cutter-1,126,0,0
07:00,A,Cutter-2,116,2,0
07:00,B,Welder-1,103,2,0
07:00,B,Welder-2,118,0,2
07:00,C,Press-1,138,0,0
07:00,C,Press-2,120,0,0
07:30,A,Cutter-1,125,0,0
07:30,A,Cutter-2,104,0,0
07:30,B,Welder-1,109,0,0
07:30,B,Welder-2,110,1,2
07:30,C,Press-1,128,0,0
07:30,C,Press-2,124,0,0
08:00,A,Cutter-1,113,0,1
08:00,A,Cutter-2,106,0,0
08:00,B,Welder-1,100,0,0
08:00,B,Welder-2,109,0,1
08:00,C,Press-1,139,0,0
08:00,C,Press-2,127,0,0
08:30,A,Cutter-1,123,0,0
08:30,A,Cutter-2,111,0,0
08:30,B,Welder-1,107,0,0
08:30,B,Welder-2,116,0,0
08:30,C,Press-1,139,0,1
08:30,C,Press-2,131,0,0
09:00,A,Cutter-1,126,0,1
09:00,A,Cutter-2,109,0,0
09:00,B,Welder-1,107,0,0
09:00,B,Welder-2,111,0,0
09:00,C,Press-1,124,1,0
09:00,C,Press-2,128,0,0
09:30,A,Cutter-1,122,0,0
09:30,A,Cutter-2,110,0,0
09:30,B,Welder-1,102,0,0
09:30,B,Welder-2,118,0,0
09:30,C,Press-1,128,0,0
09:30,C,Press-2,129,2,0
10:00,A,Cutter-1,117,0,0
10:00,A,Cutter-2,115,0,1
10:00,B,Welder-1,104,0,1
10:00,B,Welder-2,116,0,0
10:00,C,Press-1,128,0,0
10:00,C,Press-2,125,0,0
10:30,A,Cutter-1,118,0,1
10:30,A,Cutter-2,115,0,0
10:30,B,Welder-1,106,0,0
10:30,B,Welder-2,107,0,0
10:30,C,Press-1,123,2,0
10:30,C,Press-2,131,2,0
11:00,A,Cutter-1,130,0,0
11:00,A,Cutter-2,105,3,0
11:00,B,Welder-1,109,0,0
11:00,B,Welder-2,114,0,0
11:00,C,Press-1,136,0,0
11:00,C,Press-2,132,0,1
11:30,A,Cutter-1,117,0,0
11:30,A,Cutter-2,116,0,1
11:30,B,Welder-1,109,0,1
11:30,B,Welder-2,119,0,0
11:30,C,Press-1,137,0,2
11:30,C,Press-2,137,0,0
12:00,A,Cutter-1,112,0,0
12:00,A,Cutter-2,104,0,0
12:00,B,Welder-1,115,0,0
12:00,B,Welder-2,104,0,0
12:00,C,Press-1,127,0,1
12:00,C,Press-2,132,0,0
12:30,A,Cutter-1,119,0,0
12:30,A,Cutter-2,116,0,0
12:30,B,Welder-1,104,0,0
12:30,B,Welder-2,109,0,0
12:30,C,Press-1,124,0,0
12:30,C,Press-2,137,0,0
13:00,A,Cutter-1,129,0,0
13:00,A,Cutter-2,106,0,0
13:00,B,Welder-1,99,0,0
13:00,B,Welder-2,116,0,1
13:00,C,Press-1,129,0,0
13:00,C,Press-2,125,0,0
13:30,A,Cutter-1,122,0,0
13:30,A,Cutter-2,111,0,0
13:30,B,Welder-1,112,0,0
13:30,B,Welder-2,104,0,1
13:30,C,Press-1,125,0,2
13:30,C,Press-2,138,0,0
14:00,A,Cutter-1,114,0,0
14:00,A,Cutter-2,107,0,0
14:00,B,Welder-1,107,0,0
14:00,B,Welder-2,104,0,0
14:00,C,Press-1,122,1,0
14:00,C,Press-2,129,0,0
