timestamp,line,machine,units_produced,downtime_minutes,defects
08:00,A,Cutter-1,120,0,2
08:00,A,Cutter-2,110,5,1
08:00,B,Welder-1,90,15,3
08:00,B,Welder-2,105,0,1
08:00,C,Press-1,100,8,4
08:00,C,Press-2,125,0,1
08:15,A,Cutter-1,115,0,1
08:15,A,Cutter-2,105,3,2
08:15,B,Welder-1,0,20,0
08:15,B,Welder-2,108,0,1
08:15,C,Press-1,110,5,3
08:15,C,Press-2,128,0,0
08:30,A,Cutter-1,118,0,1
08:30,A,Cutter-2,108,0,0
08:30,B,Welder-1,85,10,2
08:30,B,Welder-2,110,0,2
08:30,C,Press-1,105,0,5
08:30,C,Press-2,130,0,0
08:45,A,Cutter-1,122,0,0
08:45,A,Cutter-2,100,6,2
08:45,B,Welder-1,80,12,3
08:45,B,Welder-2,112,0,1
08:45,C,Press-1,95,4,6
08:45,C,Press-2,125,0,1
09:00,A,Cutter-1,125,0,1
09:00,A,Cutter-2,102,2,1
09:00,B,Welder-1,75,8,4
09:00,B,Welder-2,115,0,0
09:00,C,Press-1,100,0,4
09:00,C,Press-2,132,0,0
09:15,A,Cutter-1,128,0,0
09:15,A,Cutter-2,110,0,2
09:15,B,Welder-1,70,5,5
09:15,B,Welder-2,118,0,1
09:15,C,Press-1,105,0,3
09:15,C,Press-2,135,0,0
09:30,A,Cutter-1,120,0,0
09:30,A,Cutter-2,108,0,1
09:30,B,Welder-1,65,6,6
09:30,B,Welder-2,115,0,1
09:30,C,Press-1,102,0,2
09:30,C,Press-2,130,0,0
09:45,A,Cutter-1,115,0,1
09:45,A,Cutter-2,105,0,0
09:45,B,Welder-1,60,2,5
09:45,B,Welder-2,112,0,1
09:45,C,Press-1,98,0,3
09:45,C,Press-2,128,0,1
